uniprot_id,ncbi_id,protein_name
A0AV96,54502,RNA-binding protein 47 (RNA-binding motif protein 47)
A0AVF1,79989,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVI4,92305,E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)
A0AVK6,79733,Transcription factor E2F8 (E2F-8)
A0AVT1,55236,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)
A0FGR8,57488,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)
A0FGR9,83850,Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)
A0JLT2,219541,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)
A0JNW5,23074,Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)
A0JP26,102724631,POTE ankyrin domain family member B3
A0MZ66,57698,Shootin-1 (Shootin1)
A0N0X8,1543,Cytochrome P450 1A (EC 1.14.14.1)
A0PJY2,389549,Fez family zinc finger protein 1 (Zinc finger protein 312B)
A0PK00,144404,Transmembrane protein 120B
A0PK11,645104,Clarin-2
A1A4E9,3860,"Keratin 13 (Keratin 13, isoform CRA_a)"
A1A4S6,79658,Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)
A1A4Y4,345611,Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)
A1A519,340069,Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)
A1A5B4,338440,Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)
A1A5C7,63027,Solute carrier family 22 member 23
A1E959,54959,Odontogenic ameloblast-associated protein (Apin)
A1KXE4,130074,Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)
A1KZ92,137902,Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)
A1L0T0,10994,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)
A1L167,134111,Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)
A1L190,644186,Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)
A1L390,26030,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)
A1L3X0,79993,Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L4H1,284297,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1L4K1,123722,Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)
A1X283,285590,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A1XBS5,137392,CBY1-interacting BAR domain-containing protein 1
A1Z1Q3,140733,ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)
A2A288,340152,Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)
A2A2Y4,257019,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)
A2IDD5,124093,Coiled-coil domain-containing protein 78 (hsCCDC78)
A2PYH4,164045,Probable ATP-dependent DNA helicase HFM1 (EC 3.6.4.12) (SEC63 domain-containing protein 1)
A2RRP1,51594,NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)
A2RTX5,123283,"Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)"
A2RU14,219854,Transmembrane protein 218
A2RU30,9840,Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)
A2RU49,123688,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)
A2RUB1,284071,Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)
A2RUB6,285331,Coiled-coil domain-containing protein 66
A2RUC4,129450,tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)
A2RUH7,343263,Myosin-binding protein H-like
A2VDJ0,23240,Transmembrane protein 131-like
A3KMH1,23078,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)
A3QNQ0,7048,TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)
A4D0Y8,3952,Leptin (Obesity factor)
A4D126,729920,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)
A4D161,340277,Protein FAM221A
A4D1B1,948,"CD36 antigen (Collagen type I receptor, thrombospondin receptor) (CD36 antigen (Collagen type I receptor, thrombospondin receptor), isoform CRA_a) (CD36 molecule isoform 1) (cDNA, FLJ93369, highly similar to Homo sapiens CD36 antigen (collagen type I receptor, thrombospondinreceptor) (CD36), mRNA)"
A4D1B5,54103,Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]
A4D1E9,85865,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)
A4D1P6,29062,WD repeat-containing protein 91
A4D1T9,136242,Probable inactive serine protease 37 (Probable inactive trypsin-X2)
A4D1U5,55750,"Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)"
A4D2B0,255374,Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)
A4FUJ8,57591,MKL1 protein
A4GXA9,197342,Probable crossover junction endonuclease EME2 (EC 3.1.22.-)
A4LAA3,546,DNA helicase (EC 3.6.4.12) (ATP-dependent helicase ATRX)
A4UGR9,129446,Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)
A5A3E0,728378,POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)
A5D8T8,348174,C-type lectin domain family 18 member A (Mannose receptor-like protein 2)
A5D8V6,55048,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)
A5D8V7,115948,Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)
A5D8W1,79846,Cilia- and flagella-associated protein 69
A5LHX3,122706,Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)
A5PKW4,5662,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)
A5PLL7,387521,Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)
A5PLL7,387522,Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)
A5X5Y0,285242,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)
A5YKK6,23019,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)
A5YM40,7043,Transforming growth factor beta
A5YM72,57571,Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)
A6BM72,84465,Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)
A6H8L5,3990,Hepatic triacylglycerol lipase (EC 3.1.1.3) (EC 3.1.1.32) (EC 3.1.1.5) (Lipase member C) (Lysophospholipase) (Phospholipase A1)
A6H8Y1,55814,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)
A6H8Z2,392307,Protein FAM221B
A6NC98,283234,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)
A6NCS4,137814,Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)
A6ND01,390243,Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)
A6ND36,644815,Protein FAM83G (Protein associated with SMAD1)
A6NDB9,342979,Paralemmin-3
A6NDG6,283871,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)
A6NDV4,51754,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)
A6NED2,91433,RCC1 domain-containing protein 1
A6NEM1,440295,Golgin subfamily A member 6-like protein 9
A6NFQ2,285966,TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)
A6NFX1,388931,Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)
A6NFY7,644096,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)"
A6NGQ2,441161,Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19)
A6NHL2,79861,Tubulin alpha chain-like 3 (EC 3.6.5.-)
A6NHR9,23347,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)
A6NHX0,729438,Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)
A6NI15,343930,Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)
A6NIH7,84747,Protein unc-119 homolog B
A6NIX2,126374,Wilms tumor protein 1-interacting protein (WT1-interacting protein)
A6NJ78,196074,12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)
A6NK89,644943,Ras association domain-containing protein 10
A6NKB5,80003,Pecanex-like protein 2 (Pecanex homolog protein 2)
A6NMZ7,131873,Collagen alpha-6(VI) chain
A6NNB3,387733,Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)
A6NNY8,389856,Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)
A7E2V4,23053,Zinc finger SWIM domain-containing protein 8
A7E2Y1,57644,"Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)"
A7KAX9,9743,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)
A7MCY6,9755,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)
A7MD48,84530,Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)
A7XYQ1,55084,Sine oculis-binding protein homolog (Jackson circler protein 1)
A8K0Z3,100287171,WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)
A8K2U0,144568,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)
A8K3H3,5916,"Retinoic acid nuclear receptor gamma variant 1 (Retinoic acid receptor gamma) (Retinoic acid receptor, gamma, isoform CRA_b) (cDNA FLJ75202, highly similar to Homo sapiens, retinoic acid receptor, gamma)"
A8K4G0,124599,CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b)
A8K571,655,"Bone morphogenetic protein 7 (Osteogenic protein 1), isoform CRA_b (cDNA FLJ78019, highly similar to Homo sapiens bone morphogenetic protein 7 (osteogenic protein 1), mRNA) (cDNA, FLJ92758, Homo sapiens bone morphogenetic protein 7 (osteogenic protein 1)(BMP7), mRNA)"
A8K660,9370,"Adiponectin (Adiponectin, C1Q and collagen domain containing) (cDNA FLJ78108, highly similar to Homo sapiens adiponectin, C1Q and collagen domain containing (ADIPOQ), mRNA)"
A8K7I4,1179,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)
A8K8P3,9814,Protein SFI1 homolog (hSFI1)
A8K8V0,146540,Zinc finger protein 785
A8K8W7,3991,Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase)
A8MPY1,200959,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor)
A8MQ03,375791,Cysteine-rich tail protein 1
A8MT69,201254,Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)
A8MTA8,730112,Ciliary microtubule inner protein 2B
A8MTJ3,346562,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)
A8MTQ0,344022,Homeobox protein notochord
A8MTZ0,92482,BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)
A8MU46,219537,Smoothelin-like protein 1
A8MUP2,751071,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)"
A8MV65,389136,Transcription cofactor vestigial-like protein 3 (Vgl-3)
A8MVW5,253012,HEPACAM family member 2 (Mitotic kinetics regulator)
A8MW92,51105,PHD finger protein 20-like protein 1
A8MW95,441925,Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)
A8MW99,101928601,Meiosis-specific protein MEI4
A8MXD5,389207,Glutaredoxin domain-containing cysteine-rich protein 1
A8MXV4,390916,Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)
A8MZ59,342900,Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)
A9QM74,402569,Importin subunit alpha-8 (Karyopherin subunit alpha-7)
A9UGY9,9474,Autophagy protein 5
A9UHW6,57409,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)
A9YTQ3,57491,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77)
B0I1T2,64005,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]
B0LPE5,207,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (RAC-PK-alpha)
B0YJ81,9200,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)
B1AK53,83715,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)
B2R9L7,5021,Oxytocin receptor
B2RTY4,4649,Unconventional myosin-IXa (Unconventional myosin-9a)
B2RUY7,402117,von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)
B2RUZ4,388588,Small integral membrane protein 1 (Vel blood group antigen)
B2RWP8,151056,"Phospholipase B1, membrane-associated (EC 3.1.1.3) (EC 3.1.1.4) (EC 3.1.1.5) (Lysophospholipase) (Phospholipase A2) (Phospholipase B/lipase) (Triacylglycerol lipase)"
B2RXF5,100128927,Zinc finger and BTB domain-containing protein 42
B3KUK7,84056,Multifunctional fusion protein [Includes: Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin); Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (p60 katanin-like 1)]
B3KWH9,60481,Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)
B4DE54,54971,Protein BANP
B6ZGT9,7101,"Nuclear receptor TLX (Nuclear receptor subfamily 2, group E, member 1, isoform CRA_a) (Tailes-related receptor)"
B7U540,100134444,"Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)"
B7ZAQ6,51463,Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)
B7ZAQ6,653519,Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)
C8C060,650,Bone morphogenetic protein 2
C9JE40,197135,Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a)
C9JLW8,348262,Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)
C9JR72,390594,Kelch repeat and BTB domain-containing protein 13
C9JRZ8,441282,Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)
D0PNI2,4015,Lysyl oxidase homolog (EC 1.4.3.13)
D0VY79,3091,Hypoxia-inducible factor 1-alpha
D3DPA4,90,Serine/threonine-protein kinase receptor (EC 2.7.11.30)
D3W0D1,100431172,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)
D6RGH6,345643,Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)
D9ZGF1,10370,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 (Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2, isoform CRA_d)"
E0CX11,647087,Short transmembrane mitochondrial protein 1
E5KRP5,6683,Spastin (EC 5.6.1.1)
E7ERL8,9378,Neurexin 1
E9PFV2,5468,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)
F1D8N4,2908,Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)
F1D8N6,4929,Nuclear receptor subfamily 4 group A member 2
F1D8S4,5465,Peroxisome proliferator-activated receptor alpha (Nuclear receptor subfamily 1 group C member 1)
F1DAL1,9971,Farnesoid X nuclear receptor
F1T0F8,5080,Paired box protein Pax-6
F6KD01,5728,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)"
G4XH65,2099,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)
H0YL14,90120,Transmembrane protein 250 (Herpes virus UL25-binding protein)
K7PPA8,7157,Cellular tumor antigen p53
K9JA46,3320,Epididymis luminal secretory protein 52 (Epididymis secretory sperm binding protein Li 65p)
L7RRS6,5894,non-specific serine/threonine protein kinase (EC 2.7.11.1)
L7RTI5,5581,Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)
L7RXH5,5595,Mitogen-activated protein kinase (EC 2.7.11.24)
M0R2J8,341019,Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)
O00115,1777,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)
O00116,8540,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)"
O00124,7993,UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)
O00139,3796,Kinesin-like protein KIF2A (Kinesin-2) (hK2)
O00141,6446,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)
O00142,7084,"Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)"
